candidate_id	acronym	raw_context_before	match_text	raw_context_after	source_location_hint	looks_like_definition	looks_like_usage	confidence	notes
bagan_epig_database-c4cfc990741f:tn:context3	TN	or: ? Contents: ? Location: “within the large cave”, Kyaukku Umin (IMP 154), Bagan; now ? References: List 1257 and 1258 = PPA, p. 316-7 =	TN	, p. 145 Remarks: “they are so obliterated that even the number of lines on them cannot be counted” (Tun Nyein) Number: A Date: ? Donor:	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:tn:context4	TN	it Location: Lhe-tauk temple, Taungpyon,; Man- dalay Palace stone 4 References: List 50 a+b = OBI 1, p. 331 = SIP no. 4, p. 4 = A, p. 19 =	TN	, p. = MP 1, p. 5; Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.) Remarks: copy; continuation on reverse: MP 1, p. 9 Number: B 474	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:ub:context1	UB	ts: constr. of temple at Naga-gyaung and ded. of land to it, demarcations Location: Bagan; Bagan Museum stone 102 References: List 100a+b =	UB	2, p. 188 = Luce G 1963 Remarks: “probably not original” (Luce) Number: B 540-2 Date: CS 540 = CE 1178 Donor: king Narapati Contents: ded	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:ub:context2	UB	s to it Location: Nadaungdat temple (IMP 1743), Pa- gan; New Bagan Museum stone 56 References: List 97 = OBI 1, p. 352 = SIP no. 9, p. 16 =	UB	1, p. 173; U Min Hswe, no. 28 Remarks: perhaps not original, but may be a close copy Number: B 548-1 Date: CS 548 = CE 1186 Donor: anon.	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:ub:context3	UB	to it Location: Tatkale temple (IMP 572-3), Min- nanthu, Bagan; in situ References: Pl. I 12 = OBI 1, p. 55 = UEM no. 9, p. 16 = List 80 =	UB	1, p. 287; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 91 Remarks: Number: B 554-2 Date: CS 554 = CE 1192 Donor: king Sithu Contents: ded. of	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:ub:context4	UB	āpuṁ Contents: ded of land to the Sagyo temple Location: Sagyo temple, Sale, Magwe distr.; in situ References: List 129a+b = OBI 1 p. 354 =	UB	2, p. 229 = Luce G 1964; U Hswai, JBRS 48 (2), 1965, p. 67, no. 3; List 128 = OBI 1, p. 231; U Maung Maung Lat, nos. 1+2; U Hswai, JBRS 48	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:uem:context1	UEM	139 pay Location: “Mahathi-kyaung, about a mile S of Bagan” = Kubyauk-nge (IMP 1391), Bagan; in situ References: Pl. I 63 = OBI 1, p. 129 =	UEM	no. 26, p. 49 = List 185 = PPA, p. 212 = TN, p. 98 Remarks: reverse dated CS 585/1223; if (a) and (b) are separate deds., the first date sh	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:uem:context2	UEM	Number: A Date: Donor: ? Contents: ? Location: Mt. Thetso, in collection near IMP 2223; in situ References: Pl. III 303 = OBI 1, p. 19 =	UEM	, no. 1, p. 1; RSASB 1926, p. 26 Remarks: judged by the spellings, a 12th centu- ry inscription Number: A Date: CS 606 = CE 1244; CS 547 =	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:uem:context3	UEM	0 serfs Location: “from a field SE of Nagayon tem- ple”, Myinkaba, Bagan; Bagan Museum sto- ne 134 References: Pl. II 110 = OBI 1, p. 324 =	UEM	no. 2, p. 2; ARASI 1930-34, p. 190 Remarks: copy?; spelling more modern than date would allow Number: B 444-1 Date: CS 444 = CE 1082 Dono	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:uem:context4	UEM	aukkyi temple (IMP 1323), Myinkaba, Bagan; in situ and Bagan Museum stone 10 (old) and 47 (new) References: Pl. IV 364a+b = OBI 1, p. 1+4 =	UEM	no. 3, p. 3 = EB 1 (1), 1919, p. 1 = List 51+52 = TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden, JRAS 1909, p. 10	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:uminhswe:context1	U Min Hswe	129 Donor: Dūrga Mahādevī Contents: ded. of serfs Location: Bagan, Myinkaba village; New Bagan Museum stone ixx References: reading (2005);	U Min Hswe	, no. cc; ed. Bauer ?? Remarks: latest dated Mon inscr. from Bagan so far known Number: B 493-1 Date: Śaka 1053 = CE 1131 Donor: king Alau	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:uminhswe:context2	U Min Hswe	and and serfs as ‘royal favour’ Location: Bagan; New Bagan Museum stone 25 References: Pl. III 311 a+b = OBI 2, p. 219; Luce, OBEP, p. 115;	U Min Hswe	, no. 25 Remarks: def. original, but list of witnesses on reverse (l. 18) added later Number: B 500-1 Date: CS 500 = CE 1138 Donor: ? Cont	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:uminhswe:context3	U Min Hswe	EM no. 6 p. 11 = List 105 = PPA, p. 139 = TN, p. 65; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 62; Harvey, History, p. 331; Anthology 5, p. 82;	U Min Hswe	, no. 21 Remarks: reverse of inscription dates CE 1344: Pl. IV 476 = SIP no. , p. 10 = List 533 = PPA, p. 137 = TN, p. 64; note that stone h	context hit 3	false	true	low	
bagan_epig_database-c4cfc990741f:uminhswe:context4	U Min Hswe	Bagan Museum “room 2” ??) References: Than Tun, Hnaung-dwe, no. 5, p. 12 Remarks: clearly original; not in museum (2013) and not listed by	U Min Hswe	Number: B 545-1 Date: CS 545 = CE 1183 Donor: king Sithu (Caññsū) Contents: king's visit to the ‘royal kū’ at Pa- reimma and ded. of land	context hit 4	true	false	medium	
