occurrence_id	record_id	source_deposit	source_layer	source_volume	source_inscription_number	title_original	raw_reference_string	full_references_original	neighboring_reference_before	neighboring_reference_after	parsed_locator	line_or_record_context	notes
ippa-occ-0061	obi-v02-n0025-ob-p0049	zenodo_4321314	structured_obi	2	25	ညောင်ရမ်းကြီးသမီး ကျောက်စာ	IPPA-119-120	IPPA-119-120; List-260; IOB2-147/ BED B 601-2; Pl. II 132b; OBI 2, p. 4; List 249; A, p. 75; copy List 918; B 2, p. 665 (first part)		List-260	119-120	references_original on obverse face/page 49; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0062	obi-v02-n0034-ob-p0064	zenodo_4321314	structured_obi	2	34	သမန္တကုံထံ လင်မယားကျောက်စာ	IPPA-103-104	IPPA-103-104; List-269; IOB2-152 BED B 601-4; Pl. II 133; OBI 2, p. 6; List 1255; PPA, p. 286 (this ref. in List is incorrect !)		List-269	103-104	references_original on obverse face/page 64; locator_type=number	Same record also cites PPA, p. 286 (this ref. in List is incorrect !).
ippa-occ-0063	obi-v02-n0041-ob-p0076	zenodo_4321314	structured_obi	2	41	သူကြွယ်အို့ကြံချင်သင် လင်မယားကျောက်စာ	IPPA-174-175	IPPA-174-175; List-214; IOB2-157 BED B 607-2; Pl. II 157; OBI 2, p. 76; List 214; PPA, p. 174; TN, p. 83		List-214	174-175	references_original on obverse face/page 76; locator_type=number	Same record also cites PPA, p. 174.
ippa-occ-0064	obi-v02-n0046-ob-p0085	zenodo_4321314	structured_obi	2	46	လောကနန္ဒာဘုရားကျောက်စာ	IPPA-112-113	IPPA-112-113; List-273/b; IOB2-160/a BED B 609-1; Pl. II 160a; OBI 2, p. 85; UEM no. 54, p. 150; List 273(b); PPA, p. 112; TN, p. 57		List-273/b	112-113	references_original on obverse face/page 85; locator_type=number	Same record also cites PPA, p. 112.
ippa-occ-0065	obi-v02-n0050-ob-p0089	zenodo_4321314	structured_obi	2	50	ငါလှသင် မောင်နှံကျောက်စာ	IPPA-186	IPPA-186; List-272; IOB2160/b BED B 609-5; Pl. II 160b; OBI 2, p. 89; List 272; PPA, p. 186; TN, p. 89; U Min Hswe, no. 12		List-272	186	references_original on obverse face/page 89; locator_type=number	Same record also cites PPA, p. 186.
ippa-occ-0066	obi-v02-n0052-ob-p0092	zenodo_4321314	structured_obi	2	52	သူကြွယ် အိုန်နိုင်သင် ကျောက်စာ	IPPA-187	IPPA-187; List-278/a; IOB2-161/b BED B 593-5; Pl. II 134a; OBI 1, p. 222; UEM no. 41, p. 113; OBI 2, p. 9		List-278/a	187	references_original on obverse face/page 92; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0067	obi-v02-n0053-tx-p0093	zenodo_4321314	structured_obi	2	53	ရှင်မဟာကဿပကျောင်းကျောက်စာ၊ ၂မျက်နှာ မျက်နှာဘက်	IPPA-243-245	IPPA-243-245; List-270; IOB2-162 BED B 610-2; Pl. II 162-163; OBI 2, p. 93; SIP no. 29, p. 66; UEM no. 56, p. 153; List 270a+b; PPA, p. 243; TN, p. 111		List-270	243-245	references_original on text face/page 93; locator_type=number	Same record also cites PPA, p. 243.
ippa-occ-0068	obi-v02-n0054-ob-p0099	zenodo_4321314	structured_obi	2	54	မင်းသမီး အစောကြွမ်းကျောက်စာ	IPPA-246-248	IPPA-246-248; List-276/a; IOB2-164 BED B 593-5; Pl. II 134a; OBI 1, p. 222; UEM no. 41, p. 113; OBI 2, p. 9		List-276/a	246-248	references_original on obverse face/page 99; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0069	obi-v02-n0054-re-p0103	zenodo_4321314	structured_obi	2	54	မင်းသမီးအစောကြွမ်းကျောက်စာ	IPPA-294	IPPA-294; List-276/b; IOB2-165/a BED B 600-7; OBI 2, p. 1; RDASB 1971		List-276/b	294	references_original on reverse face/page 103; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0070	obi-v02-n0073-tx-p0155	zenodo_4321314	structured_obi	2	73	ညောင်ဦးမြို့ရွှေစည်းခုံဘုရားကို ကျွန်လှူသောကျောက်စာ	IPPA-9	IPPA-9; List-283; IOB2-176/b BED B 602-1; Pl. II 136; OBI 2, p. 15; List 253; UB 1, p. 297		List-283	9	references_original on text face/page 155; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0071	obi-v02-n0077-ob-p0159	zenodo_4321314	structured_obi	2	77	မဟာသမန်း လင်မယားကျောက်စာ	IPPA 101-102	IPPA 101-102; List 287; IOB1-102 BED B 602-1; Pl. II 136; OBI 2, p. 15; List 253; UB 1, p. 297		List 287	101-102	references_original on obverse face/page 159; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0072	obi-v02-n0083-ob-p0170	zenodo_4321314	structured_obi	2	83	ဓမ္မရံကြီးဘုရား ကျောက်စာ	IPPA-147-148	IPPA-147-148; List-290; IOB2-182/a BED B 615-4; Pl. II 182a; OBI 2, p. 170; UEM no. 61, p. 179; List 290; PPA, p. 147; TN, p. 68; OR 3434 fol. ghā verso (with further dates)		List-290	147-148	references_original on obverse face/page 170; locator_type=number	Same record also cites PPA, p. 147.
ippa-occ-0073	obi-v02-n0091-ob-p0179	zenodo_4321314	structured_obi	2	91	သိခင် စခီပိုလ် ကျောက်စာ	IPPA-105	IPPA-105; List-292; IOB2-185 BED B 617-1; Pl. II 185; OBI 2, p. 179; UEM no. 63, p. 183; List 292; PPA, p. 105; TN, p. 54		List-292	105	references_original on obverse face/page 179; locator_type=number	Same record also cites PPA, p. 105.
ippa-occ-0074	obi-v02-n0098-ob-p0190	zenodo_4321314	structured_obi	2	98	သူကြွယ် ငတိုင်ပင်သင် လင်မယားကျောက်စာ	IPPA-190	IPPA-190; List-295; IOB2-191/a BED B 620-1; Pl. II 191a; OBI 2, p. 190; List 295; PPA, p. 190; TN, p. 91, U Min Hswe, no. 63		List-295	190	references_original on obverse face/page 190; locator_type=number	Same record also cites PPA, p. 190.
ippa-occ-0075	obi-v02-n0101-ob-p0194	zenodo_4321314	structured_obi	2	101	မဟာသမန်းကြီး သမီး စိုးမင်းကြီးကျောက်စာ	IPPA-106	IPPA-106; List-296; IOB-192 BED B 600-7; OBI 2, p. 1; RDASB 1971		List-296	106	references_original on obverse face/page 194; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0076	obi-v02-n0118-re-p0217	zenodo_4321314	structured_obi	2	118	သူကြွယ် ငတိကျက်သက် ကျောက်စာ	IPPA-201	IPPA-201; List-1254; IOB3-270 BED B 614-4; Pl. III 270; OBI 2, p. 217; List 1254; PPA, p. 201; TN, p. 96; U Min Hswe, no. 62		List-1254	201	references_original on reverse face/page 217; locator_type=number	Same record also cites PPA, p. 201.
ippa-occ-0077	obi-v03-n0001-ob-p0001	zenodo_4321314	structured_obi	3	1	တျြာမြမ် ကျောက်စာ	IPPA-191	IPPA-191; List-302; IOB2-195/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-302	191	references_original on obverse face/page 1; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0078	obi-v03-n0002-re-p0002	zenodo_4321314	structured_obi	3	2	ရတ္ထပိစည်း လင်မယားကျောက်စာ	IPPA-55	IPPA-55; List-90; IOB2-198 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51		List-90	55	references_original on reverse face/page 2; locator_type=number	Same record also cites PPA, p. 55.
ippa-occ-0079	obi-v03-n0021-ob-p0028	zenodo_4321314	structured_obi	3	21	သိင်္ဃသူ သမီး ကျောက်စာ	IPPA-266	IPPA-266; List-311; IOB2-216 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51		List-311	266	references_original on obverse face/page 28; locator_type=number	Same record also cites PPA, p. 55.
ippa-occ-0080	obi-v03-n0024-tx-p0035	zenodo_4321314	structured_obi	3	24	တျြာမွန် မယားကျောက်စာ	IPPA 188-189	IPPA 188-189; List 278/b; IOB2-217 BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79		List 278/b	188-189	references_original on text face/page 35; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0081	obi-v03-n0029-re-p0047	zenodo_4321314	structured_obi	3	29	သိင်္ဃသူသမီးကျောက်စာ	IPPA-269	IPPA-269; List 323; IOB2-223/b BED A; Pl. III 321; OBI 3, p. 4		List 323	269	references_original on reverse face/page 47; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0082	obi-v03-n0037-ob-p0058	zenodo_4321314	structured_obi	3	37	သ္ခိင်ဖွါးဇဝ်ကျောက်စာ	IPPA-264	IPPA-264; List-325; IOB3-234 BED B 624-1; Pl. II 202; OBI 3, p. 5; List 308; A, p. 101; MP, p. 107		List-325	264	references_original on obverse face/page 58; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0083	obi-v03-n0039-ob-p0065	zenodo_4321314	structured_obi	3	39	တရုပ်ပြေးမင်းကျောက်စာ	IPPA-313-314	IPPA-313-314; List-329; IOB3-228/b BED B 632-1; Pl. II 228b; OBI 3, p. 65; SIP no. 42, p. 110; List 329; PPA, p. 313; TN, p. 144		List-329	313-314	references_original on obverse face/page 65; locator_type=number	Same record also cites PPA, p. 313.
ippa-occ-0084	obi-v03-n0042-ob-p0068	zenodo_4321314	structured_obi	3	42	မုခ် ၂ ဆင့်ဂူဘုရား ကျောက်စာ	IPPA-98	IPPA-98; List-333; IOB3-231/b BED B 633-1; Pl. III 231b; OBI 3, p. 68; SIP no. 30, p. 70; List 333; PPA, p. 98; TN, p. 51; U Min Hswe, no. 14		List-333	98	references_original on obverse face/page 68; locator_type=number	Same record also cites PPA, p. 98.
ippa-occ-0085	obi-v03-n0045-re-p0073	zenodo_4321314	structured_obi	3	45	သမန္တပတိယ် လင်မယားကျောက်စာ	IPPA-257	IPPA-257; List-344/b; IOB3-240 BED B 624-2; Pl. II 203; OBI 3, p. 7; List 305; UB 1, p. 300		List-344/b	257	references_original on reverse face/page 73; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0086	obi-v03-n0046-re-p0074	zenodo_4321314	structured_obi	3	46	သ္ခိင်ဖွါးဇဝ် ကျောက်စာ	IPPA-274-276	IPPA-274-276; List-334; IOB3-235 BED B 634-1; Pl. III 235; OBI 3, p. 74; SIP no. 40, p. 101; List 334; PPA, p. 274; TN, p. 126		List-334	274-276	references_original on reverse face/page 74; locator_type=number	Same record also cites PPA, p. 274.
ippa-occ-0087	obi-v03-n0052-re-p0083	zenodo_4321314	structured_obi	3	52	မနောရဇာ၏့သားများကျောက်စာ	IPPA-255	617; IPPA-255; List-344/a; IOB3-239 BED B 635-1; Pl. III 239; OBI 3, p. 83; SIP no. 31, p. 72; List 344a; PPA p. 255; TN, p. 116	617	List-344/a	255	references_original on reverse face/page 83; locator_type=number	Same record also cites PPA p. 255.
ippa-occ-0088	obi-v03-n0055-ob-p0089	zenodo_4321314	structured_obi	3	55	သံပျင် လက်ဆောင်ကျောက်စာ	IPPA-277	IPPA-277; List-345; IOB3-243 BED B 624-3; Pl. II 204a+b; OBI 3, p. 8; List 306; UB 2, p. 203; (not in U Min Hswe)		List-345	277	references_original on obverse face/page 89; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0089	obi-v03-n0057-tx-p0092	zenodo_4321314	structured_obi	3	57	သိရိဝဎနာ အမတ်ကြီးနှင့် မင်းသမီး မင်းစောလတ် ကျောက်စာ	IPPA-193	IPPA-193; List-349; IOB3-244 BED B 624-4; Pl. II 205-206; OBI 3, p. 9-11; List 307a+b; A, p. 103-105; MP 2, p. 159		List-349	193	references_original on text face/page 92; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0090	obi-v03-n0059-ob-p0095	zenodo_4321314	structured_obi	3	59	မိဖုရားစော ပုလဲမယ်ကျောက်စာ	IPPA-295	IPPA-295; List-351; IOB3-246 BED B 623-2 & B 636-3; Pl. III 246; OBI 3, p. 95; List 351; PPA, p. 295; TN, p. 136; copies List 402 (second inscr.); B 2, p. 819 (dated CS 636/ 1274) and List 453 (second inscr.); B 2, p. 827 (dated CS 676/1314); MM 4, no. 40, p. 1186 (third inscr.)		List-351	295	references_original on obverse face/page 95; locator_type=number	Same record also cites PPA, p. 295.
ippa-occ-0091	obi-v03-n0060-ob-p0097	zenodo_4321314	structured_obi	3	60	တရုပ်ပြေးမင်းကြီး၏့ အမတ်ကျောက်စာ	IPPA-278	IPPA-278; List-352; IOB3-247 BED B 624-4; Pl. II 205-206; OBI 3, p. 9-11; List 307a+b; A, p. 103-105; MP 2, p. 159		List-352	278	references_original on obverse face/page 97; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0092	obi-v03-n0061-ob-p0100	zenodo_4321314	structured_obi	3	61	သမ္ဗျင်ကြည်စင် လင်မယားစသောသူတို့ကျောက်စာ	IPPA-96-97	IPPA-96-97; List-350; IOB3-248 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-350	96-97	references_original on obverse face/page 100; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0093	obi-v03-n0068-ob-p0113	zenodo_4321314	structured_obi	3	68	မင်းသမီး အစော ပတည်သာ ကျောက်စာ	IPPA-280	IPPA-280; List-359; IOB3-254/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-359	280	references_original on obverse face/page 113; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0094	obi-v03-n0081-ob-p0135	zenodo_4321314	structured_obi	3	81	ကျစွာမင်းကြီးနှင့် မိဖုရား ဖွားဇောကျောင်းကျောက်စာ	IPPA-281	IPPA-281; List-369; IOB3-268 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-369	281	references_original on obverse face/page 135; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0095	obi-v03-n0083-ob-p0139	zenodo_4321314	structured_obi	3	83	မင်းဤမ်ကြီး ကျောက်စာ၊၂ မျက်နှာ၊ မျက်နှာ	IPPA-283	IPPA-283; List-374; IOB4-421/a BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-374	283	references_original on obverse face/page 139; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0096	obi-v03-n0086-re-p0150	zenodo_4321314	structured_obi	3	86	သ္ခိင်ရစသူနှင့် အမိဖွါးစော ကျောက်စာ	IPPA-260	IPPA-260; List-384/b; IOB3-273 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-384/b	260	references_original on reverse face/page 150; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0097	obi-v03-n0087-ob-p0152	zenodo_4321314	structured_obi	3	87	သ္ခိင်ရာဇသူနှင့် အမိဘွားစောကျောက်စာ	IPPA-270-271	IPPA-270-271; List-383/a; IOB3-274 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-383/a	270-271	references_original on obverse face/page 152; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0098	obi-v03-n0088-ob-p0158	zenodo_4321314	structured_obi	3	88	အသင်္ခယာ အုတ်ကျောင်း ကျောက်စာ	IPPA-64	IPPA-64; List-387; IOB3-276/a BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-387	64	references_original on obverse face/page 158; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0099	obi-v03-n0098-ob-p0173	zenodo_4321314	structured_obi	3	98	သံပျင်ဇေယျသူဌေးကျောက်စာ	IPPA-284	IPPA-284; List-394; IOB3-282 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-394	284	references_original on obverse face/page 173; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0100	obi-v03-n0099-ob-p0174	zenodo_4321314	structured_obi	3	99	ဣန္ဒပဇ္ဇရာဘုရားကျောက်စာ	IPPA-123	IPPA-123; List-393; IOB3-283 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-393	123	references_original on obverse face/page 174; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0101	obi-v03-n0114-ob-p0193	zenodo_4321314	structured_obi	3	114	စာသင်ဂူဘုရားအနီးရှိ ကျောက်စာ	IPPA-107	IPPA-107; List-408; IOB3-290/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-408	107	references_original on obverse face/page 193; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0102	obi-v03-n0115-ob-p0194	zenodo_4321314	structured_obi	3	115	သမ္ဘူလဘုရားကျောက်စာ	IPPA-253-254	IPPA-253-254; List-407; IOB3-291 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18		List-407	253-254	references_original on obverse face/page 194; locator_type=number	Same record also cites PPA, p. 191.
ippa-occ-0103	obi-v03-n0122-re-p0206	zenodo_4321314	structured_obi	3	122	သစ်မထီးကျောင်း ကျောက်စာ	IPPA-293	IPPA-293; List-417; IOB4-395 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51		List-417	293	references_original on reverse face/page 206; locator_type=number	Same record also cites PPA, p. 55.
ippa-occ-0104	obi-v03-n0212-ob-p0343	zenodo_4321314	structured_obi	3	212	သစ္စဝတီဘုရားကျောက်စာ	IPPA-311-312	IPPA-311-312; List-488; IOB4-451 BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79		List-488	311-312	references_original on obverse face/page 343; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0105	obi-v04-n0036-re-p0059	zenodo_4321314	structured_obi	4	36	တိုင်းချွတ်ဘုရားကျောက်စာ	IPPA 137-138	IPPA 137-138; List 533; IOB5-		List 533	137-138	references_original on reverse face/page 59; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0106	obi-v04-n0074-ob-p0117	zenodo_4321314	structured_obi	4	74	စတ္တလင်္ကသူ ကျောက်စာ	IPPA-341	IPPA-341; List-599; IOB5-525/b		List-599	341	references_original on obverse face/page 117; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0107	obi-v04-n0108-ob-p0172	zenodo_4321314	structured_obi	4	108	ဖွားစောကျောင်းနှင့် လှေအသျင် မောင်နှံကျောင်းကျောက်စာ	IPPA-303, 4-5	IPPA-303, 4-5; List-701/a; IOB4-392		List-701/a	303, 4-5	references_original on obverse face/page 172; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0108	obi-v04-n0108-re-p0175	zenodo_4321314	structured_obi	4	108	ဖွားစောကျောင်းနှင့် လှေအသျင် မောင်နှံကျောင်းကျောက်စာ	IPPA 306, 7-8	17; IPPA 306, 7-8; List-701/b; IOB4-393	17	List-701/b	306, 7-8	references_original on reverse face/page 175; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0109	obi-v04-n0111-re-p0180	zenodo_4321314	structured_obi	4	111	ဝပေသူကြီး ကျောက်စာ	IPPA-15	IPPA-15; List 710		List 710	15	references_original on reverse face/page 180; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0110	obi-v04-n0116-ob-p0185	zenodo_4321314	structured_obi	4	116	ဆုတောင်းပြည့်ဘုရားကျောက်စာ	IPPA	IPPA; IPPA-297-8-9; List-409/a; IOB4-390		IPPA-297-8-9	IPPA	references_original on obverse face/page 185; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0111	obi-v04-n0116-ob-p0185	zenodo_4321314	structured_obi	4	116	ဆုတောင်းပြည့်ဘုရားကျောက်စာ	IPPA-297-8-9	IPPA; IPPA-297-8-9; List-409/a; IOB4-390	IPPA	List-409/a	297-8-9	references_original on obverse face/page 185; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0112	obi-v04-n0116-re-p0188	zenodo_4321314	structured_obi	4	116	ဆုတောင်းပြည့်ဘုရားကျောက်စာ	IPPA-300-1-2	IPPA-300-1-2; List-409/b; IOB4-391		List-409/b	300-1-2	references_original on reverse face/page 188; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0113	obi-v05-n0009-ob-p0021	zenodo_4321314	structured_obi	5	9	တက်နွယ်ကျောင်းကျောက်စာ	IPPA 78-79-80-81-82	IPPA 78-79-80-81-82			78-79-80-81-82	references_original on obverse face/page 21; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0114	obi-v05-n0009-re-p0025	zenodo_4321314	structured_obi	5	9	တက်နွယ်ကျောင်းကျောက်စာ	IPPA 83-84-85-86	IPPA 83-84-85-86			83-84-85-86	references_original on reverse face/page 25; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0115	obi-v05-n0009-tx-p0030	zenodo_4321314	structured_obi	5	9	တက်နွယ်ကျောင်းကျောက်စာ	IPPA-87-88	IPPA-87-88			87-88	references_original on text face/page 30; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0116	obi-v05-n0009-tx-p0032	zenodo_4321314	structured_obi	5	9	တက်နွယ်ကျောင်းကျောက်စာ	IPPA-89-90	IPPA-89-90			89-90	references_original on text face/page 32; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0117	obi-v05-n0018-ob-p0061	zenodo_4321314	structured_obi	5	18	ဥစ္စနာမင်းကြီးကျောက်စာ	IPPA-320	IPPA-320; List-507; IOB4-456/a		List-507	320	references_original on obverse face/page 61; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
