record_id	title_original	references_original	other_sources_cited	IPPA_locator	parallel_OBI_or_List_or_PPA_reference	likely_source_relationship	review_decision	confidence	notes
obi-v01-n0169-ob-p0287	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	IPPA 59, 60; List-211; IOB1-93 BED B 598-5; Pl. I 93; OBI 1, p. 287; List 211; PPA, p. 59; TN, p. 28	List-211 | IOB1-93 BED B 598-5 | Pl. I 93 | OBI 1, p. 287 | List 211 | PPA, p. 59 | TN, p. 28	59, 60	List-211 | Pl. I 93 | OBI 1, p. 287 | List 211 | PPA, p. 59 | TN, p. 28	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0172-ob-p0291	ရာဇသူရ သမီးမောင်နှံ ကျောက်စာ	IPPA-99-100; List-237; IOB1-94/a BED B 598-4; Pl. I 94a+b; OBI 1, p. 291; List 237; PPA, p. 99; TN, p. 52	List-237 | IOB1-94/a BED B 598-4 | Pl. I 94a+b | OBI 1, p. 291 | List 237 | PPA, p. 99 | TN, p. 52	99-100	List-237 | Pl. I 94a+b | OBI 1, p. 291 | List 237 | PPA, p. 99 | TN, p. 52	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0178-tx-p0305	ငါဆုသင် မောင်နှံ ကျောက်စာ	IPPA-179; List-241; IOB1-101 BED B 599-3; Pl. I 101; OBI 1, p. 305; List 241; PPA, p. 179; TN, p. 85; U Min Hswe, no. 6	List-241 | IOB1-101 BED B 599-3 | Pl. I 101 | OBI 1, p. 305 | List 241 | PPA, p. 179 | TN, p. 85 | U Min Hswe, no. 6	179	List-241 | Pl. I 101 | OBI 1, p. 305 | List 241 | PPA, p. 179 | TN, p. 85	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0179-tx-p0306	အမတ် ညာဏပိစည်း ကျောက်စာ	IPPA 181, 182; List 242; IOB1-105/a BED B 599-4; Pl. I 105a; OBI 1, p. 306; SIP no. 25, p. 52; UEM no. 36, p. 99; List 242; PPA, p. 181; MM 3, no. 44, p. 189; TN, p. 86; U Than Tun, JBRS 1978, p. 140; U Min Hswe, no. 76	List 242 | IOB1-105/a BED B 599-4 | Pl. I 105a | OBI 1, p. 306 | SIP no. 25, p. 52 | UEM no. 36, p. 99 | List 242 | PPA, p. 181	181, 182	List 242 | Pl. I 105a | OBI 1, p. 306 | UEM no. 36, p. 99 | List 242 | PPA, p. 181	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0181-ob-p0311	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	IPPA 61, 62; List-206; IOB1-103 BED B 600-8; Pl. I 103-104; OBI 1, p. 311; List 206/List 220; PPA, p. 61; TN, p. 29	List-206 | IOB1-103 BED B 600-8 | Pl. I 103-104 | OBI 1, p. 311 | List 206/List 220 | PPA, p. 61 | TN, p. 29	61, 62	List-206 | Pl. I 103-104 | OBI 1, p. 311 | List 206/List 220 | PPA, p. 61 | TN, p. 29	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0181-re-p0313	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	IPPA 63; List-220; IOB1-104	List-220 | IOB1-104	63	List-220	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0183-ob-p0315	ငါမင်သင် လင်မယား ကျောက်စာ	IPPA 159; List-1252; IOB2-129 BED B 600-9; Pl. II 129; OBI 1, p. 315; List 1252; PPA, p. 159; TN, p. 93	List-1252 | IOB2-129 BED B 600-9 | Pl. II 129 | OBI 1, p. 315 | List 1252 | PPA, p. 159 | TN, p. 93	159	List-1252 | Pl. II 129 | OBI 1, p. 315 | List 1252 | PPA, p. 159 | TN, p. 93	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0186-ob-p0319	မြင်းကပါ ပိဇယ်တို့ကျောက်စာ	IPPA-183; List-247; IOB2-131/b BED B 600-5; Pl. II 131b; OBI 1, p. 319; List 247; PPA, p. 183; TN, p. 87; U Min Hswe, no. 44	List-247 | IOB2-131/b BED B 600-5 | Pl. II 131b | OBI 1, p. 319 | List 247 | PPA, p. 183 | TN, p. 87 | U Min Hswe, no. 44	183	List-247 | Pl. II 131b | OBI 1, p. 319 | List 247 | PPA, p. 183 | TN, p. 87	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0187-ob-p0320	သံဗျင်သက်ရှည်ကျောက်စာ	IPPA-239; List 246; IOB2-132/a BED B 600-6; Pl. II 132a; OBI 1, p. 320; UEM no. 40, p. 112; List 246; PPA p. 239; TN, p. 109	List 246 | IOB2-132/a BED B 600-6 | Pl. II 132a | OBI 1, p. 320 | UEM no. 40, p. 112 | List 246 | PPA p. 239 | TN, p. 109	239	List 246 | Pl. II 132a | OBI 1, p. 320 | UEM no. 40, p. 112 | List 246 | PPA p. 239	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0205-ob-p0347	စူဠာမဏိဘုရားကျောက်စာ	List 113; IPPA-145-146 BED B 545-3; List 113; OBI 1, p. 347; PPA, p. 145; TN p. 67; List 109-110; B 2, p. 781-783; MM 2, nos. 38-39; OR 6452 B (1), no. 31	List 113 | List 113 | OBI 1, p. 347 | PPA, p. 145 | TN p. 67 | List 109-110 | B 2, p. 781-783 | MM 2, nos. 38-39	145-146 BED B 545-3	List 113 | List 113 | OBI 1, p. 347 | PPA, p. 145 | TN p. 67 | List 109-110	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0004-ob-p0006	ရတနာသုံးပါးအား ကျွန်လယ်လှူသော ကျောက်စာ	IPPA 286-287; List-1255; IOB2-133 BED B 601-4; Pl. II 133; OBI 2, p. 6; List 1255; PPA, p. 286 (this ref. in List is incorrect !)	List-1255 | IOB2-133 BED B 601-4 | Pl. II 133 | OBI 2, p. 6 | List 1255 | PPA, p. 286 (this ref. in List is incorrect !)	286-287	List-1255 | Pl. II 133 | OBI 2, p. 6 | List 1255 | PPA, p. 286 (this ref. in List is incorrect !)	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0016-ob-p0024	ဖွားစောခေါ် အမိပုဟားစော ကျောက်စာ	IPPA-155-157; List-254,; IOB2-138 BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	List-254, | IOB2-138 BED B 603-3 | Pl. II 138 | OBI 2, p. 24 | SIP no. 26, p. 55 | UEM no. 44, p. 117 | List 254 | PPA, p. 155	155-157	List-254, | Pl. II 138 | OBI 2, p. 24 | UEM no. 44, p. 117 | List 254 | PPA, p. 155	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0018-ob-p0029	ဖွားစောခေါ် အမိပုရှာစော ကျောက်စာ	IPPA-12; List-368,; IOB2-139 BED B 603-5; Pl. II 139; OBI 2, p. 29; UEM no. 43, p. 116; List 368; PPA, p. 12; TN, p. 3; OR 6452 B (1), no. 1	List-368, | IOB2-139 BED B 603-5 | Pl. II 139 | OBI 2, p. 29 | UEM no. 43, p. 116 | List 368 | PPA, p. 12 | TN, p. 3	12	List-368, | Pl. II 139 | OBI 2, p. 29 | UEM no. 43, p. 116 | List 368 | PPA, p. 12	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0020-ob-p0033	ညောင်ရံကြီးသမီး ကျောက်စာ	IPPA-117-118; List-263,; IOB2-143/a BED B 571-2; Pl. I 84; OBI 2, p. 3; UEM no. 42, p. 115; List 173	List-263, | IOB2-143/a BED B 571-2 | Pl. I 84 | OBI 2, p. 3 | UEM no. 42, p. 115 | List 173	117-118	List-263, | Pl. I 84 | OBI 2, p. 3 | UEM no. 42, p. 115 | List 173	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0021-ob-p0037	ညောင်ရံကြီးသမီးကျောက်စာ	IPPA-114, 116; List-262; IOB2-144 BED B 571-2; Pl. I 84; OBI 2, p. 3; UEM no. 42, p. 115; List 173	List-262 | IOB2-144 BED B 571-2 | Pl. I 84 | OBI 2, p. 3 | UEM no. 42, p. 115 | List 173	114, 116	List-262 | Pl. I 84 | OBI 2, p. 3 | UEM no. 42, p. 115 | List 173	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0022-ob-p0041	ညောင်ရမ်းကြီးသမီးကျောက်စာ	IPPA-184, 185; List-259; IOB2-145 BED B 604-3; Pl. II 145; OBI 2, p. 41; SIP no. 28, p. 63; UEM no. 47, p. 129; List 259; PPA, p. 184; TN, p. 88; U Min Hswe, no. 34	List-259 | IOB2-145 BED B 604-3 | Pl. II 145 | OBI 2, p. 41 | SIP no. 28, p. 63 | UEM no. 47, p. 129 | List 259 | PPA, p. 184	184, 185	List-259 | Pl. II 145 | OBI 2, p. 41 | UEM no. 47, p. 129 | List 259 | PPA, p. 184	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0023-ob-p0044	ညောင်ရမ်းကြီးသမီးကျောက်စာ	& 2; IPPA-240-241; List-257; IOB2-146 BED B 604-4; Pl. II 146; OBI 2, p. 44; UEM no. 47, p. 131; List 257; PPA, p. 240; TN, p. 109, U Min Hswe, no. 53	& 2 | List-257 | IOB2-146 BED B 604-4 | Pl. II 146 | OBI 2, p. 44 | UEM no. 47, p. 131 | List 257 | PPA, p. 240	240-241	List-257 | Pl. II 146 | OBI 2, p. 44 | UEM no. 47, p. 131 | List 257 | PPA, p. 240	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0024-ob-p0047	ညောင်ရမ်းကြီးသမီးကျောက်စာ	12; IPPA-121-122; List-261; IOB2-147/a BED B 604-5; Pl. II 147a+b; OBI 2, p. 47; UEM no. 48, p. 134; List 260-261; PPA, p. 119; TN, p. 61-62; U Min Hswe, no. 22-3	12 | List-261 | IOB2-147/a BED B 604-5 | Pl. II 147a+b | OBI 2, p. 47 | UEM no. 48, p. 134 | List 260-261 | PPA, p. 119	121-122	List-261 | Pl. II 147a+b | OBI 2, p. 47 | UEM no. 48, p. 134 | List 260-261 | PPA, p. 119	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0025-ob-p0049	ညောင်ရမ်းကြီးသမီး ကျောက်စာ	IPPA-119-120; List-260; IOB2-147/ BED B 601-2; Pl. II 132b; OBI 2, p. 4; List 249; A, p. 75; copy List 918; B 2, p. 665 (first part)	List-260 | IOB2-147/ BED B 601-2 | Pl. II 132b | OBI 2, p. 4 | List 249 | A, p. 75 | copy List 918 | B 2, p. 665 (first part)	119-120	List-260 | Pl. II 132b | OBI 2, p. 4 | List 249 | A, p. 75 | B 2, p. 665 (first part)	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0034-ob-p0064	သမန္တကုံထံ လင်မယားကျောက်စာ	IPPA-103-104; List-269; IOB2-152 BED B 601-4; Pl. II 133; OBI 2, p. 6; List 1255; PPA, p. 286 (this ref. in List is incorrect !)	List-269 | IOB2-152 BED B 601-4 | Pl. II 133 | OBI 2, p. 6 | List 1255 | PPA, p. 286 (this ref. in List is incorrect !)	103-104	List-269 | Pl. II 133 | OBI 2, p. 6 | List 1255 | PPA, p. 286 (this ref. in List is incorrect !)	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0041-ob-p0076	သူကြွယ်အို့ကြံချင်သင် လင်မယားကျောက်စာ	IPPA-174-175; List-214; IOB2-157 BED B 607-2; Pl. II 157; OBI 2, p. 76; List 214; PPA, p. 174; TN, p. 83	List-214 | IOB2-157 BED B 607-2 | Pl. II 157 | OBI 2, p. 76 | List 214 | PPA, p. 174 | TN, p. 83	174-175	List-214 | Pl. II 157 | OBI 2, p. 76 | List 214 | PPA, p. 174 | TN, p. 83	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0046-ob-p0085	လောကနန္ဒာဘုရားကျောက်စာ	IPPA-112-113; List-273/b; IOB2-160/a BED B 609-1; Pl. II 160a; OBI 2, p. 85; UEM no. 54, p. 150; List 273(b); PPA, p. 112; TN, p. 57	List-273/b | IOB2-160/a BED B 609-1 | Pl. II 160a | OBI 2, p. 85 | UEM no. 54, p. 150 | List 273(b) | PPA, p. 112 | TN, p. 57	112-113	List-273/b | Pl. II 160a | OBI 2, p. 85 | UEM no. 54, p. 150 | List 273(b) | PPA, p. 112	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0050-ob-p0089	ငါလှသင် မောင်နှံကျောက်စာ	IPPA-186; List-272; IOB2160/b BED B 609-5; Pl. II 160b; OBI 2, p. 89; List 272; PPA, p. 186; TN, p. 89; U Min Hswe, no. 12	List-272 | IOB2160/b BED B 609-5 | Pl. II 160b | OBI 2, p. 89 | List 272 | PPA, p. 186 | TN, p. 89 | U Min Hswe, no. 12	186	List-272 | Pl. II 160b | OBI 2, p. 89 | List 272 | PPA, p. 186 | TN, p. 89	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0052-ob-p0092	သူကြွယ် အိုန်နိုင်သင် ကျောက်စာ	IPPA-187; List-278/a; IOB2-161/b BED B 593-5; Pl. II 134a; OBI 1, p. 222; UEM no. 41, p. 113; OBI 2, p. 9	List-278/a | IOB2-161/b BED B 593-5 | Pl. II 134a | OBI 1, p. 222 | UEM no. 41, p. 113 | OBI 2, p. 9	187	List-278/a | Pl. II 134a | OBI 1, p. 222 | UEM no. 41, p. 113 | OBI 2, p. 9	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0053-tx-p0093	ရှင်မဟာကဿပကျောင်းကျောက်စာ၊ ၂မျက်နှာ မျက်နှာဘက်	IPPA-243-245; List-270; IOB2-162 BED B 610-2; Pl. II 162-163; OBI 2, p. 93; SIP no. 29, p. 66; UEM no. 56, p. 153; List 270a+b; PPA, p. 243; TN, p. 111	List-270 | IOB2-162 BED B 610-2 | Pl. II 162-163 | OBI 2, p. 93 | SIP no. 29, p. 66 | UEM no. 56, p. 153 | List 270a+b | PPA, p. 243	243-245	List-270 | Pl. II 162-163 | OBI 2, p. 93 | UEM no. 56, p. 153 | List 270a+b | PPA, p. 243	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0054-ob-p0099	မင်းသမီး အစောကြွမ်းကျောက်စာ	IPPA-246-248; List-276/a; IOB2-164 BED B 593-5; Pl. II 134a; OBI 1, p. 222; UEM no. 41, p. 113; OBI 2, p. 9	List-276/a | IOB2-164 BED B 593-5 | Pl. II 134a | OBI 1, p. 222 | UEM no. 41, p. 113 | OBI 2, p. 9	246-248	List-276/a | Pl. II 134a | OBI 1, p. 222 | UEM no. 41, p. 113 | OBI 2, p. 9	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0054-re-p0103	မင်းသမီးအစောကြွမ်းကျောက်စာ	IPPA-294; List-276/b; IOB2-165/a BED B 600-7; OBI 2, p. 1; RDASB 1971	List-276/b | IOB2-165/a BED B 600-7 | OBI 2, p. 1 | RDASB 1971	294	List-276/b | OBI 2, p. 1 | RDASB 1971	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0073-tx-p0155	ညောင်ဦးမြို့ရွှေစည်းခုံဘုရားကို ကျွန်လှူသောကျောက်စာ	IPPA-9; List-283; IOB2-176/b BED B 602-1; Pl. II 136; OBI 2, p. 15; List 253; UB 1, p. 297	List-283 | IOB2-176/b BED B 602-1 | Pl. II 136 | OBI 2, p. 15 | List 253 | UB 1, p. 297	9	List-283 | Pl. II 136 | OBI 2, p. 15 | List 253 | UB 1, p. 297	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0077-ob-p0159	မဟာသမန်း လင်မယားကျောက်စာ	IPPA 101-102; List 287; IOB1-102 BED B 602-1; Pl. II 136; OBI 2, p. 15; List 253; UB 1, p. 297	List 287 | IOB1-102 BED B 602-1 | Pl. II 136 | OBI 2, p. 15 | List 253 | UB 1, p. 297	101-102	List 287 | Pl. II 136 | OBI 2, p. 15 | List 253 | UB 1, p. 297	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0083-ob-p0170	ဓမ္မရံကြီးဘုရား ကျောက်စာ	IPPA-147-148; List-290; IOB2-182/a BED B 615-4; Pl. II 182a; OBI 2, p. 170; UEM no. 61, p. 179; List 290; PPA, p. 147; TN, p. 68; OR 3434 fol. ghā verso (with further dates)	List-290 | IOB2-182/a BED B 615-4 | Pl. II 182a | OBI 2, p. 170 | UEM no. 61, p. 179 | List 290 | PPA, p. 147 | TN, p. 68	147-148	List-290 | Pl. II 182a | OBI 2, p. 170 | UEM no. 61, p. 179 | List 290 | PPA, p. 147	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0091-ob-p0179	သိခင် စခီပိုလ် ကျောက်စာ	IPPA-105; List-292; IOB2-185 BED B 617-1; Pl. II 185; OBI 2, p. 179; UEM no. 63, p. 183; List 292; PPA, p. 105; TN, p. 54	List-292 | IOB2-185 BED B 617-1 | Pl. II 185 | OBI 2, p. 179 | UEM no. 63, p. 183 | List 292 | PPA, p. 105 | TN, p. 54	105	List-292 | Pl. II 185 | OBI 2, p. 179 | UEM no. 63, p. 183 | List 292 | PPA, p. 105	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0098-ob-p0190	သူကြွယ် ငတိုင်ပင်သင် လင်မယားကျောက်စာ	IPPA-190; List-295; IOB2-191/a BED B 620-1; Pl. II 191a; OBI 2, p. 190; List 295; PPA, p. 190; TN, p. 91, U Min Hswe, no. 63	List-295 | IOB2-191/a BED B 620-1 | Pl. II 191a | OBI 2, p. 190 | List 295 | PPA, p. 190 | TN, p. 91, U Min Hswe, no. 63	190	List-295 | Pl. II 191a | OBI 2, p. 190 | List 295 | PPA, p. 190 | TN, p. 91, U Min Hswe, no. 63	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0101-ob-p0194	မဟာသမန်းကြီး သမီး စိုးမင်းကြီးကျောက်စာ	IPPA-106; List-296; IOB-192 BED B 600-7; OBI 2, p. 1; RDASB 1971	List-296 | IOB-192 BED B 600-7 | OBI 2, p. 1 | RDASB 1971	106	List-296 | OBI 2, p. 1 | RDASB 1971	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v02-n0118-re-p0217	သူကြွယ် ငတိကျက်သက် ကျောက်စာ	IPPA-201; List-1254; IOB3-270 BED B 614-4; Pl. III 270; OBI 2, p. 217; List 1254; PPA, p. 201; TN, p. 96; U Min Hswe, no. 62	List-1254 | IOB3-270 BED B 614-4 | Pl. III 270 | OBI 2, p. 217 | List 1254 | PPA, p. 201 | TN, p. 96 | U Min Hswe, no. 62	201	List-1254 | Pl. III 270 | OBI 2, p. 217 | List 1254 | PPA, p. 201 | TN, p. 96	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0001-ob-p0001	တျြာမြမ် ကျောက်စာ	IPPA-191; List-302; IOB2-195/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	List-302 | IOB2-195/b BED B 622-4 | Pl. II 195b | OBI 3, p. 1 | List 302 | PPA, p. 191 | TN, p. 91 | U Min Hswe, no. 18	191	List-302 | Pl. II 195b | OBI 3, p. 1 | List 302 | PPA, p. 191 | TN, p. 91	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0002-re-p0002	ရတ္ထပိစည်း လင်မယားကျောက်စာ	IPPA-55; List-90; IOB2-198 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	List-90 | IOB2-198 BED B 622-6 | Pl. II 198 | OBI 3, p. 2 | List 90 | PPA, p. 55 | TN, p. 26 | U Min Hswe, no. 51	55	List-90 | Pl. II 198 | OBI 3, p. 2 | List 90 | PPA, p. 55 | TN, p. 26	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0021-ob-p0028	သိင်္ဃသူ သမီး ကျောက်စာ	IPPA-266; List-311; IOB2-216 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	List-311 | IOB2-216 BED B 622-6 | Pl. II 198 | OBI 3, p. 2 | List 90 | PPA, p. 55 | TN, p. 26 | U Min Hswe, no. 51	266	List-311 | Pl. II 198 | OBI 3, p. 2 | List 90 | PPA, p. 55 | TN, p. 26	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0024-tx-p0035	တျြာမွန် မယားကျောက်စာ	IPPA 188-189; List 278/b; IOB2-217 BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	List 278/b | IOB2-217 BED B 623-1 | Pl. II 201b | OBI 3, p. 3 | List 255 | A, p. 79	188-189	List 278/b | Pl. II 201b | OBI 3, p. 3 | List 255 | A, p. 79	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0029-re-p0047	သိင်္ဃသူသမီးကျောက်စာ	IPPA-269; List 323; IOB2-223/b BED A; Pl. III 321; OBI 3, p. 4	List 323 | IOB2-223/b BED A | Pl. III 321 | OBI 3, p. 4	269	List 323 | Pl. III 321 | OBI 3, p. 4	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0037-ob-p0058	သ္ခိင်ဖွါးဇဝ်ကျောက်စာ	IPPA-264; List-325; IOB3-234 BED B 624-1; Pl. II 202; OBI 3, p. 5; List 308; A, p. 101; MP, p. 107	List-325 | IOB3-234 BED B 624-1 | Pl. II 202 | OBI 3, p. 5 | List 308 | A, p. 101 | MP, p. 107	264	List-325 | Pl. II 202 | OBI 3, p. 5 | List 308 | A, p. 101 | MP, p. 107	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0039-ob-p0065	တရုပ်ပြေးမင်းကျောက်စာ	IPPA-313-314; List-329; IOB3-228/b BED B 632-1; Pl. II 228b; OBI 3, p. 65; SIP no. 42, p. 110; List 329; PPA, p. 313; TN, p. 144	List-329 | IOB3-228/b BED B 632-1 | Pl. II 228b | OBI 3, p. 65 | SIP no. 42, p. 110 | List 329 | PPA, p. 313 | TN, p. 144	313-314	List-329 | Pl. II 228b | OBI 3, p. 65 | List 329 | PPA, p. 313 | TN, p. 144	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0042-ob-p0068	မုခ် ၂ ဆင့်ဂူဘုရား ကျောက်စာ	IPPA-98; List-333; IOB3-231/b BED B 633-1; Pl. III 231b; OBI 3, p. 68; SIP no. 30, p. 70; List 333; PPA, p. 98; TN, p. 51; U Min Hswe, no. 14	List-333 | IOB3-231/b BED B 633-1 | Pl. III 231b | OBI 3, p. 68 | SIP no. 30, p. 70 | List 333 | PPA, p. 98 | TN, p. 51	98	List-333 | Pl. III 231b | OBI 3, p. 68 | List 333 | PPA, p. 98 | TN, p. 51	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v03-n0045-re-p0073	သမန္တပတိယ် လင်မယားကျောက်စာ	IPPA-257; List-344/b; IOB3-240 BED B 624-2; Pl. II 203; OBI 3, p. 7; List 305; UB 1, p. 300	List-344/b | IOB3-240 BED B 624-2 | Pl. II 203 | OBI 3, p. 7 | List 305 | UB 1, p. 300	257	List-344/b | Pl. II 203 | OBI 3, p. 7 | List 305 | UB 1, p. 300	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
