family_id	family_label	family_type	member_count	occurrence_count	sample_raw_references	current_bibtex_key	current_status	suggested_local_search_terms	notes
fam-raw-bm1-245	BM1-245	unclear	1	1	BM1-245	work191	machine_stub	BM1-245	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-250	BM1-250,	unclear	1	1	BM1-250,	work192	machine_stub	BM1-250,	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-262-270	BM1-262+270	unclear	1	1	BM1-262+270	work193	machine_stub	BM1-262+270	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-270-279	BM1-270 + 279	unclear	1	1	BM1-270 + 279	work194	machine_stub	BM1-270 + 279	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-351-352	BM1-351-352	unclear	1	1	BM1-351-352	work195	machine_stub	BM1-351-352	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-380	BM1-380	unclear	1	1	BM1-380	work196	machine_stub	BM1-380	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-381	BM1-381	unclear	1	1	BM1-381	work197	machine_stub	BM1-381	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-420	BM1-420	unclear	1	1	BM1-420	work198	machine_stub	BM1-420	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-72	BM1-72	unclear	1	1	BM1-72	work199	machine_stub	BM1-72	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-80	BM1-80	unclear	1	1	BM1-80	work200	machine_stub	BM1-80	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1184	BM1184	unclear	1	1	BM1184	work201	machine_stub	BM1184	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm2-558	BM2 -558	unclear	1	1	BM2 -558	work202	machine_stub	BM2 -558	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm2-760	BM2-760	unclear	1	1	BM2-760	work203	machine_stub	BM2-760	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm2-768	BM2-768	unclear	1	1	BM2-768	work204	machine_stub	BM2-768	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm2-830-838	BM2-830, 838	unclear	1	1	BM2-830, 838	work205	machine_stub	BM2-830, 838	Prioritize local library or Frasch-preface evidence review.
fam-raw-co-pies-list-225	co pies List 225	unclear	1	1	co pies List 225	work206	machine_stub	co pies List 225	Prioritize local library or Frasch-preface evidence review.
fam-raw-copies-list-212	copies: List 212	unclear	1	1	copies: List 212	work207	machine_stub	copies: List 212	Prioritize local library or Frasch-preface evidence review.
fam-raw-copies-list-217	copies List 217	unclear	1	1	copies List 217	work208	machine_stub	copies List 217	Prioritize local library or Frasch-preface evidence review.
fam-raw-copies-list-402-second-inscr	copies List 402 (second inscr.)	unclear	1	1	copies List 402 (second inscr.)	work209	machine_stub	copies List 402 (second inscr.)	Prioritize local library or Frasch-preface evidence review.
fam-raw-cp-a-first-part	cp. A, p. 17 (first part)	unclear	1	1	cp. A, p. 17 (first part)	awork	machine_stub	cp. A, p. 17 (first part), cp. A	Prioritize local library or Frasch-preface evidence review.
fam-raw-duroiselle-arasi-1912-hledaung-inscr	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr.)	unclear	1	1	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr…	duroiselle1912arasi	machine_stub	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr.), Duroiselle, ARASI 1912	Prioritize local library or Frasch-preface evidence review.
fam-raw-frasch-coastal-peripheries	Frasch, “Coastal Peripheries”, p. 74	unclear	1	1	Frasch, “Coastal Peripheries”, p. 74	fraschcoastal	machine_stub	Frasch, “Coastal Peripheries”, p. 74, Frasch, “Coastal Peripheries”	Prioritize local library or Frasch-preface evidence review.
fam-raw-frasch-mhrj-1998	Frasch, MHRJ 1998, p. 23-37	unclear	1	1	Frasch, MHRJ 1998, p. 23-37	frasch1998mhrj	machine_stub	Frasch, MHRJ 1998, p. 23-37, Frasch, MHRJ 1998	Prioritize local library or Frasch-preface evidence review.
fam-raw-frasch-pagan	Frasch, Pagan, p. 102-103	unclear	1	1	Frasch, Pagan, p. 102-103	fraschpagan	machine_stub	Frasch, Pagan, p. 102-103, Frasch, Pagan	Prioritize local library or Frasch-preface evidence review.
fam-raw-hla-thamein-bagan-hket	Hla Thamein, Bagan-hket, p. 113	unclear	1	1	Hla Thamein, Bagan-hket, p. 113	thameinbagan	machine_stub	Hla Thamein, Bagan-hket, p. 113, Hla Thamein, Bagan-hket	Prioritize local library or Frasch-preface evidence review.
fam-raw-htupayon1	Htupayon1 p.249,	unclear	1	1	Htupayon1 p.249,	work210	machine_stub	Htupayon1 p.249,	Prioritize local library or Frasch-preface evidence review.
fam-raw-in-situ	in situ	unclear	1	1	in situ	work211	machine_stub	in situ	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-1-bed-b-493-1	iob1 1 bed b 493 1	unclear	1	1	IOB1-1 BED B 493-1	work212	machine_stub	iob1 1 bed b 493 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-10-a-bed-b-552-1	iob1 10 a bed b 552 1	unclear	1	1	IOB1-10/a BED B 552-1	work213	machine_stub	iob1 10 a bed b 552 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-10-b	IOB1-10/b	unclear	1	1	IOB1-10/b	work214	machine_stub	IOB1-10/b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-100-a-bed-b-597-10	iob1 100 a bed b 597 10	unclear	1	1	IOB1-100/a BED B 597-10	work215	machine_stub	iob1 100 a bed b 597 10	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-100-b-bed-b-599-2	iob1 100 b bed b 599 2	unclear	1	1	IOB1-100/b BED B 599-2	work216	machine_stub	iob1 100 b bed b 599 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-101-bed-b-599-3	iob1 101 bed b 599 3	unclear	1	1	IOB1-101 BED B 599-3	work217	machine_stub	iob1 101 bed b 599 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-102-bed-b-602-1	iob1 102 bed b 602 1	unclear	1	1	IOB1-102 BED B 602-1	work218	machine_stub	iob1 102 bed b 602 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-103-bed-b-600-8	iob1 103 bed b 600 8	unclear	1	1	IOB1-103 BED B 600-8	work219	machine_stub	iob1 103 bed b 600 8	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-104	IOB1-104	unclear	1	1	IOB1-104	work220	machine_stub	IOB1-104	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-105-a-bed-b-599-4	iob1 105 a bed b 599 4	unclear	1	1	IOB1-105/a BED B 599-4	work221	machine_stub	iob1 105 a bed b 599 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-106-bed-b-509-1	iob1 106 bed b 509 1	unclear	1	1	IOB1-106 BED B 509-1	work222	machine_stub	iob1 106 bed b 509 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-107	IOB1-107	unclear	1	1	IOB1-107	work223	machine_stub	IOB1-107	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-108-a-bed-b-567-6	iob1 108 a bed b 567 6	unclear	1	1	IOB1-108/a BED B 567-6	work224	machine_stub	iob1 108 a bed b 567 6	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-108-b-bed-b-585-2	iob1 108 b bed b 585 2	unclear	1	1	IOB1-108/b BED B 585-2	work225	machine_stub	iob1 108 b bed b 585 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-109-a-bed-b-598-7	iob1 109 a bed b 598 7	unclear	1	1	IOB1-109/a BED B 598-7	work226	machine_stub	iob1 109 a bed b 598 7	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-109-b-bed-b-596-2	iob1 109 b bed b 596 2	unclear	1	1	IOB1-109/b BED B 596-2	work227	machine_stub	iob1 109 b bed b 596 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-11-bed-b-553-1	iob1 11 bed b 553 1	unclear	1	1	IOB1-11 BED B 553-1	work228	machine_stub	iob1 11 bed b 553 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-118-b-bed-b-579-1	iob1 118 b bed b 579 1	unclear	1	1	IOB1-118/b BED B 579-1	work229	machine_stub	iob1 118 b bed b 579 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-12-bed-b-554-1	iob1 12 bed b 554 1	unclear	1	1	IOB1-12 BED B 554-1	work230	machine_stub	iob1 12 bed b 554 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-14-bed-b-558-1	iob1 14 bed b 558 1	unclear	1	1	IOB1-14 BED B 558-1	work231	machine_stub	iob1 14 bed b 558 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-15	IOB1-15	unclear	1	1	IOB1-15	work232	machine_stub	IOB1-15	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-16	IOB1-16	unclear	1	1	IOB1-16	work233	machine_stub	IOB1-16	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-17	IOB1-17	unclear	1	1	IOB1-17	work234	machine_stub	IOB1-17	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-18	IOB1-18	unclear	1	1	IOB1-18	work235	machine_stub	IOB1-18	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-19-a-bed-b-560-1	iob1 19 a bed b 560 1	unclear	1	1	IOB1-19/a, BED B 560-1	work236	machine_stub	iob1 19 a bed b 560 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-2	IOB1-2	unclear	1	1	IOB1-2	work237	machine_stub	IOB1-2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-20-a	IOB1-20/a,	unclear	1	1	IOB1-20/a,	work238	machine_stub	IOB1-20/a,	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-21-bed-b-560-4	iob1 21 bed b 560 4	unclear	1	1	IOB1-21 BED B 560-4	work239	machine_stub	iob1 21 bed b 560 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-22-bed-b-563-2	iob1 22 bed b 563 2	unclear	1	1	IOB1-22 BED B 563-2	work240	machine_stub	iob1 22 bed b 563 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-23	IOB1-23	unclear	1	1	IOB1-23	work241	machine_stub	IOB1-23	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-24-bed-b-564-1	iob1 24 bed b 564 1	unclear	1	1	IOB1-24 BED B 564-1	work242	machine_stub	iob1 24 bed b 564 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-25-bed-a	IOB1-25 BED A	unclear	1	1	IOB1-25 BED A	work243	machine_stub	IOB1-25 BED A	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-26-bed-b-600-7	iob1 26 bed b 600 7	unclear	1	1	IOB1-26 BED B 600-7	work244	machine_stub	iob1 26 bed b 600 7	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-28-a-bed-b-568-1	iob1 28 a bed b 568 1	unclear	1	1	IOB1-28/a BED B 568-1	work245	machine_stub	iob1 28 a bed b 568 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-28-b	IOB1-28/b	unclear	1	1	IOB1-28/b	work246	machine_stub	IOB1-28/b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-29-bed-b-568-2	iob1 29 bed b 568 2	unclear	1	1	IOB1-29 BED B 568-2	work247	machine_stub	iob1 29 bed b 568 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-3-bed-b-512-2	iob1 3 bed b 512 2	unclear	1	1	IOB1-3 BED B 512-2	work248	machine_stub	iob1 3 bed b 512 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-3-bed-b-550-1	iob1 3 bed b 550 1	unclear	1	1	IOB1-3 BED B 550-1	work249	machine_stub	iob1 3 bed b 550 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-31-bed-b-593-1	iob1 31 bed b 593 1	unclear	1	1	IOB1-31 BED B 593-1	work250	machine_stub	iob1 31 bed b 593 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-32-33-bed-b-570-2	iob1 32 33 bed b 570 2	unclear	1	1	IOB1-32, 33 BED B 570-2	work251	machine_stub	iob1 32 33 bed b 570 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-32-bed-b-570-1	iob1 32 bed b 570 1	unclear	1	1	IOB1-32 BED B 570-1	work252	machine_stub	iob1 32 bed b 570 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-33	IOB1-33	unclear	1	1	IOB1-33	work253	machine_stub	IOB1-33	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-35	IOB1-35	unclear	1	1	IOB1-35	work254	machine_stub	IOB1-35	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-36-bed-b-574-1	iob1 36 bed b 574 1	unclear	1	1	IOB1-36 BED B 574-1	work255	machine_stub	iob1 36 bed b 574 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-37-bed-574-2	IOB1-37 BED 574-2	unclear	1	1	IOB1-37 BED 574-2	work256	machine_stub	IOB1-37 BED 574-2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-38-a	IOB1-38/a	unclear	1	1	IOB1-38/a	work257	machine_stub	IOB1-38/a	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-38-b-bed-b-573-4	iob1 38 b bed b 573 4	unclear	1	1	IOB1-38/b BED B 573-4	work258	machine_stub	iob1 38 b bed b 573 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-39-bed-b-575-1	iob1 39 bed b 575 1	unclear	1	1	IOB1-39 BED B 575-1	work259	machine_stub	iob1 39 bed b 575 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-4-bed-b-527-1	iob1 4 bed b 527 1	unclear	1	1	IOB1-4 BED B 527-1	work260	machine_stub	iob1 4 bed b 527 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-40	IOB1-40	unclear	1	1	IOB1-40	work261	machine_stub	IOB1-40	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-41-bed-b-578-1	iob1 41 bed b 578 1	unclear	1	1	IOB1-41 BED B 578-1	work262	machine_stub	iob1 41 bed b 578 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-42-bed-b-578-2	iob1 42 bed b 578 2	unclear	1	1	IOB1-42 BED B 578-2	work263	machine_stub	iob1 42 bed b 578 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-43	IOB1-43	unclear	1	1	IOB1-43	work264	machine_stub	IOB1-43	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-44-a-bed-b-578-3	iob1 44 a bed b 578 3	unclear	1	1	IOB1-44/a BED B 578-3	work265	machine_stub	iob1 44 a bed b 578 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-45-bed-b-581-2	iob1 45 bed b 581 2	unclear	1	1	IOB1-45 BED B 581-2	work266	machine_stub	iob1 45 bed b 581 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-46-bed-b-586-6	iob1 46 bed b 586 6	unclear	1	1	IOB1-46 BED B 586-6	work267	machine_stub	iob1 46 bed b 586 6	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-47	IOB1-47	unclear	1	1	IOB1-47	work268	machine_stub	IOB1-47	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-48-bed-b-582-1	iob1 48 bed b 582 1	unclear	1	1	IOB1-48 BED B 582-1	work269	machine_stub	iob1 48 bed b 582 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-49	IOB1-49	unclear	1	1	IOB1-49	work270	machine_stub	IOB1-49	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-5	IOB1-5	unclear	1	1	IOB1-5	work271	machine_stub	IOB1-5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-50-b	IOB1-50 -b	unclear	1	1	IOB1-50 -b	work272	machine_stub	IOB1-50 -b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-51-bed-b-585-3	iob1 51 bed b 585 3	unclear	1	1	IOB1-51 BED B 585-3	work273	machine_stub	iob1 51 bed b 585 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-53-bed-b-586-5	iob1 53 bed b 586 5	unclear	1	1	IOB1-53 BED B 586-5	work274	machine_stub	iob1 53 bed b 586 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-54-587-bed-b-586-10	iob1 54 587 bed b 586 10	unclear	1	1	IOB1-54 587 BED B 586-10	work275	machine_stub	iob1 54 587 bed b 586 10	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-55-a-bed-b-587-5	iob1 55 a bed b 587 5	unclear	1	1	IOB1-55/a BED B 587-5	work276	machine_stub	iob1 55 a bed b 587 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-55-b-bed-b-599-1	iob1 55 b bed b 599 1	unclear	1	1	IOB1-55/b BED B 599-1	work277	machine_stub	iob1 55 b bed b 599 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-56-a	IOB1-56/a	unclear	1	1	IOB1-56/a	work278	machine_stub	IOB1-56/a	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-56-b-bed-b-577-2	iob1 56 b bed b 577 2	unclear	1	1	IOB1-56/b BED B 577-2	work279	machine_stub	iob1 56 b bed b 577 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-56-b-bed-b-587-6	iob1 56 b bed b 587 6	unclear	1	1	IOB1-56/b BED B 587-6	work280	machine_stub	iob1 56 b bed b 587 6	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-57-a-iob5-563-b-bed-b-588-5	iob1 57 a iob5 563 b bed b 588 5	unclear	1	1	IOB1-57/a & IOB5-563/b BED B 588-5	work281	machine_stub	iob1 57 a iob5 563 b bed b 588 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-57-b-bed-b-588-1	iob1 57 b bed b 588 1	unclear	1	1	IOB1-57/b BED B 588-1	work282	machine_stub	iob1 57 b bed b 588 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-58	IOB1-58	unclear	1	1	IOB1-58	work283	machine_stub	IOB1-58	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-59-bed-b-561-1-b-509-2	iob1 59 bed b 561 1 b 509 2	unclear	1	1	IOB1-59 BED B 561-1 & B 509-2	work284	machine_stub	iob1 59 bed b 561 1 b 509 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-6-bed-b-541-1	iob1 6 bed b 541 1	unclear	1	1	IOB1-6 BED B 541-1	work285	machine_stub	iob1 6 bed b 541 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-60-a-bed-b-591-2	iob1 60 a bed b 591 2	unclear	1	1	IOB1-60/a BED B 591-2	work286	machine_stub	iob1 60 a bed b 591 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-60-b	IOB1-60/b	unclear	1	1	IOB1-60/b	work287	machine_stub	IOB1-60/b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-61-bed-b-591-3	iob1 61 bed b 591 3	unclear	1	1	IOB1-61 BED B 591-3	work288	machine_stub	iob1 61 bed b 591 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-62-bed-b-591-7	iob1 62 bed b 591 7	unclear	1	1	IOB1-62 BED B 591-7	work289	machine_stub	iob1 62 bed b 591 7	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-63-a-b-bed-a	iob1 63 a b bed a	unclear	1	1	IOB1-63/a-b BED A	work290	machine_stub	iob1 63 a b bed a	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-64-bed-b-585-1	iob1 64 bed b 585 1	unclear	1	1	IOB1-64 BED B 585-1	work291	machine_stub	iob1 64 bed b 585 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-65-a-bed-b-592-4	iob1 65 a bed b 592 4	unclear	1	1	IOB1-65/a BED B 592-4	work292	machine_stub	iob1 65 a bed b 592 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-65-b	IOB1-65/b	unclear	1	1	IOB1-65/b	work293	machine_stub	IOB1-65/b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-66	IOB1-66	unclear	1	1	IOB1-66	work294	machine_stub	IOB1-66	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-67-bed-b-577-3	iob1 67 bed b 577 3	unclear	1	1	IOB1-67, BED B 577-3	work295	machine_stub	iob1 67 bed b 577 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-68-bed-b-595-1	iob1 68 bed b 595 1	unclear	1	1	IOB1-68 BED B 595-1	work296	machine_stub	iob1 68 bed b 595 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-69-bed-b-593-2	iob1 69 bed b 593 2	unclear	1	1	IOB1-69 BED B 593-2	work297	machine_stub	iob1 69 bed b 593 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-7-bed-b-543-1	iob1 7 bed b 543 1	unclear	1	1	IOB1-7 BED B 543-1	work298	machine_stub	iob1 7 bed b 543 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-70-bed-b-595-2	iob1 70 bed b 595 2	unclear	1	1	IOB1-70 BED B 595-2	work299	machine_stub	iob1 70 bed b 595 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-71-bed-b-595-6	iob1 71 bed b 595 6	unclear	1	1	IOB1-71 BED B 595-6	work300	machine_stub	iob1 71 bed b 595 6	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-72	IOB1-72	unclear	1	1	IOB1-72	work301	machine_stub	IOB1-72	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-73-bed-b-585-4	iob1 73 bed b 585 4	unclear	1	1	IOB1-73 BED B 585-4	work302	machine_stub	iob1 73 bed b 585 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-74-bed-b-585-5	iob1 74 bed b 585 5	unclear	1	1	IOB1-74 BED B 585-5	work303	machine_stub	iob1 74 bed b 585 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-75-a-bed-b-587-3	iob1 75 a bed b 587 3	unclear	1	1	IOB1-75/a BED B 587-3	work304	machine_stub	iob1 75 a bed b 587 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-75-b-bed-b-586-1	iob1 75 b bed b 586 1	unclear	1	1	IOB1-75/b BED B 586-1	work305	machine_stub	iob1 75 b bed b 586 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-76	IOB1-76	unclear	1	1	IOB1-76	work306	machine_stub	IOB1-76	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-77	IOB1-77	unclear	1	1	IOB1-77	work307	machine_stub	IOB1-77	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-78-a	IOB1 78/a	unclear	1	1	IOB1 78/a	work308	machine_stub	IOB1 78/a	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-78-b-bed-b-595-3	iob1 78 b bed b 595 3	unclear	1	1	IOB1-78/b BED B 595-3	work309	machine_stub	iob1 78 b bed b 595 3	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-79-a	IOB1-79/a	unclear	1	1	IOB1-79/a	work310	machine_stub	IOB1-79/a	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-79-b-bed-b-595-4	iob1 79 b bed b 595 4	unclear	1	1	IOB1-79/b BED B 595-4	work311	machine_stub	iob1 79 b bed b 595 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-8-a-bed-b-544-1	iob1 8 a bed b 544 1	unclear	1	1	IOB1-8/a BED B 544-1	work312	machine_stub	iob1 8 a bed b 544 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-8-bed-b-597-9	iob1 8 bed b 597 9	unclear	1	1	IOB1--8 BED B 597-9	work313	machine_stub	iob1 8 bed b 597 9	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-80-bed-b-589-2	iob1 80 bed b 589 2	unclear	1	1	IOB1-80 BED B 589-2	work314	machine_stub	iob1 80 bed b 589 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-81	IOB1-81	unclear	1	1	IOB1-81	work315	machine_stub	IOB1-81	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-82-a-bed-b-589-1	iob1 82 a bed b 589 1	unclear	1	1	IOB1-82/a BED B 589-1	work316	machine_stub	iob1 82 a bed b 589 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-82-b	IOB1-82/b	unclear	1	1	IOB1-82/b	work317	machine_stub	IOB1-82/b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-84-bed-b-571-2	iob1 84 bed b 571 2	unclear	1	1	IOB1-84 BED B 571-2	work318	machine_stub	iob1 84 bed b 571 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-86-bed-b-597-5	iob1 86 bed b 597 5	unclear	1	1	IOB1-86 BED B 597-5	work319	machine_stub	iob1 86 bed b 597 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-87	IOB1-87	unclear	1	1	IOB1-87	work320	machine_stub	IOB1-87	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-89	IOB1-89	unclear	1	1	IOB1-89	work321	machine_stub	IOB1-89	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-9-a-bed-b-555-1	iob1 9 a bed b 555 1	unclear	1	1	IOB1-9/a BED B 555-1	work322	machine_stub	iob1 9 a bed b 555 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-91-n-48-bed-b-598-2	iob1 91 n 48 bed b 598 2	unclear	1	1	IOB1-91 n°48 BED B 598-2	work323	machine_stub	iob1 91 n 48 bed b 598 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-92	IOB1-92	unclear	1	1	IOB1-92	work324	machine_stub	IOB1-92	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-93-bed-b-598-5	iob1 93 bed b 598 5	unclear	1	1	IOB1-93 BED B 598-5	work325	machine_stub	iob1 93 bed b 598 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-94-a-bed-b-598-4	iob1 94 a bed b 598 4	unclear	1	1	IOB1-94/a BED B 598-4	work326	machine_stub	iob1 94 a bed b 598 4	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-94-b	IOB1-94/b	unclear	1	1	IOB1-94/b	work327	machine_stub	IOB1-94/b	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-95-a-bed-b-598-8	iob1 95 a bed b 598 8	unclear	1	1	IOB1-95/a BED B 598-8	work328	machine_stub	iob1 95 a bed b 598 8	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-96-bed-b-598-9	iob1 96 bed b 598 9	unclear	1	1	IOB1-96 BED B 598-9	work329	machine_stub	iob1 96 bed b 598 9	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-97	IOB1-97	unclear	1	1	IOB1-97	work330	machine_stub	IOB1-97	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob1-c-b-bed-b-546-1	iob1 c b bed b 546 1	unclear	1	1	IOB1-c/b BED B 546-1	work331	machine_stub	iob1 c b bed b 546 1	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob183-bed-b-591-5	IOB183 BED B 591-5	unclear	1	1	IOB183 BED B 591-5	work332	machine_stub	IOB183 BED B 591-5	Prioritize local library or Frasch-preface evidence review.
